,,Noblesville,
month,day,price,quantity
1,7,12.91,"2,385"
1,14,10.95,"2,438"
1,21,10.90,"2,493"
1,28,9.41,"2,494"
2,4,12.34,"2,403"
2,11,13.56,"2,328"
2,18,15.78,"2,365"
2,25,10.09,"2,422"
3,4,14.48,"2,285"
3,11,14.16,"2,277"
3,18,9.68,"2,487"
3,25,8.84,"2,506"
4,1,11.16,"2,406"
4,8,12.00,"2,396"
4,15,13.77,"2,379"
4,22,12.57,"2,411"
4,29,13.01,"2,386"
5,6,10.97,"2,419"
5,13,10.74,"2,527"
5,20,7.14,"2,656"
5,27,10.47,"2,562"
6,3,7.03,"2,526"
6,10,13.56,"2,458"
6,17,11.79,"2,445"
6,24,9.29,"2,586"
7,1,9.77,"2,539"
7,8,8.01,"2,552"
7,15,11.06,"2,513"
7,22,13.20,"2,410"
7,29,9.57,"2,559"
8,5,12.19,"2,512"
8,12,8.56,"2,674"
8,19,11.05,"2,484"
8,26,8.61,"2,546"
9,2,13.61,"2,349"
9,9,9.55,"2,522"
9,16,14.87,"2,305"
9,23,10.48,"2,481"
9,30,13.27,"2,389"
10,7,13.40,"2,383"
10,14,11.13,"2,557"
10,21,9.14,"2,610"
10,28,15.30,"2,339"
11,4,9.59,"2,472"
11,11,14.37,"2,312"
11,18,10.73,"2,579"
11,25,10.24,"2,556"
12,2,10.85,"2,425"
12,9,11.77,"2,486"
12,16,11.18,"2,570"
12,23,11.83,"2,529"
12,30,9.23,"2,546"
,,,
