,,Noblesville,,Bloomington,
month,day,price,quantity,price,quantity
1,3,9.51,"2,639",9.51,"2,930"
1,10,18.17,"2,418",18.17,"2,247"
1,17,12.54,"2,569",12.54,"2,663"
1,24,10.13,"2,627",10.13,"2,854"
1,31,14.89,"2,559",14.89,"2,482"
2,7,15.22,"2,540",15.22,"2,473"
2,14,14.75,"2,432",14.75,"2,706"
2,21,15.84,"2,472",15.84,"2,527"
2,28,14.60,"2,358",14.60,"2,692"
3,7,13.38,"2,680",13.38,"2,876"
3,14,15.62,"2,497",15.62,"2,796"
3,21,16.59,"2,496",16.59,"2,561"
3,28,9.81,"2,831",9.81,"2,610"
4,4,16.38,"2,231",16.38,"2,612"
4,11,14.70,"2,566",14.70,"3,062"
4,18,17.75,"2,325",17.75,"2,598"
4,25,16.30,"2,516",16.30,"2,418"
5,2,15.20,"2,444",15.20,"2,705"
5,9,15.19,"2,560",15.19,"2,755"
5,16,15.18,"2,576",15.18,"2,613"
5,23,16.09,"2,428",16.09,"2,745"
5,30,14.58,"2,428",14.58,"2,834"
6,6,15.06,"2,527",15.06,"2,522"
6,13,13.10,"2,662",13.10,"2,635"
6,20,12.26,"2,679",12.26,"2,906"
6,27,13.26,"2,327",13.26,"2,388"
7,4,13.08,"2,491",13.08,"2,774"
7,11,11.59,"2,401",11.59,"2,994"
7,18,15.64,"2,255",15.64,"2,545"
7,25,13.72,"2,383",13.72,"2,845"
8,1,12.89,"2,502",12.89,"2,803"
8,8,13.62,"2,498",13.62,"2,718"
8,15,16.79,"2,504",16.79,"2,641"
8,22,12.11,"2,824",12.11,"2,973"
8,29,11.71,"2,799",11.71,"2,778"
9,5,14.98,"2,489",14.98,"2,980"
9,12,12.81,"2,552",12.81,"2,701"
9,19,17.61,"2,687",17.61,"2,656"
9,26,18.14,"2,345",18.14,"2,668"
10,3,16.08,"2,540",16.08,"2,748"
10,10,16.61,"2,374",16.61,"2,781"
10,17,11.36,"2,417",11.36,"2,408"
10,24,14.67,"2,603",14.67,"2,770"
10,31,15.05,"2,509",15.05,"2,599"
11,7,15.30,"2,574",15.30,"2,650"
11,14,16.60,"2,444",16.60,"2,865"
11,21,16.12,"2,293",16.12,"2,586"
11,28,16.45,"2,410",16.45,"2,876"
12,5,16.71,"2,467",16.71,"2,724"
12,12,18.91,"2,558",18.91,"2,640"
12,19,15.41,"2,540",15.41,"2,986"
12,26,13.35,"2,617",13.35,"2,825"
,,,,,
,,,,,
