,,Noblesville,,Bloomington,
month,day,price,quantity,price,quantity
1,4,13.18,"2,595",13.18,"2,401"
1,11,16.39,"2,441",16.39,"2,499"
1,18,9.12,"2,678",9.12,"2,919"
1,25,12.81,"2,481",12.81,"2,753"
2,1,14.27,"2,480",14.27,"2,558"
2,8,15.26,"2,497",15.26,"2,751"
2,15,11.62,"2,519",11.62,"2,708"
2,22,11.69,"2,385",11.69,"2,912"
3,1,17.16,"2,408",17.16,"2,528"
3,8,9.94,"2,578",9.94,"2,827"
3,15,9.27,"2,676",9.27,"3,098"
3,22,14.96,"2,411",14.96,"2,818"
3,29,12.05,"2,589",12.05,"2,529"
4,5,11.87,"2,493",11.87,"2,675"
4,12,11.99,"2,555",11.99,"2,636"
4,19,10.48,"2,600",10.48,"2,617"
4,26,13.92,"2,430",13.92,"2,685"
5,3,11.64,"2,811",11.64,"2,797"
5,10,12.88,"2,482",12.88,"2,596"
5,17,11.69,"2,600",11.69,"2,819"
5,24,9.26,"2,571",9.26,"2,801"
5,31,10.89,"2,729",10.89,"2,687"
6,7,13.22,"2,332",13.22,"2,658"
6,14,10.25,"2,640",10.25,"2,746"
6,21,14.52,"2,558",14.52,"2,637"
6,28,14.10,"2,291",14.10,"2,613"
7,5,15.29,"2,380",15.29,"2,442"
7,12,14.30,"2,653",14.30,"2,506"
7,19,13.58,"2,403",13.58,"2,485"
7,26,14.69,"2,376",14.69,"2,653"
8,2,12.20,"2,515",12.20,"2,688"
8,9,11.89,"2,625",11.89,"2,860"
8,16,12.79,"2,522",12.79,"2,649"
8,23,14.37,"2,441",14.37,"2,546"
8,30,12.42,"2,586",12.42,"2,765"
9,6,11.22,"2,742",11.22,"2,890"
9,13,9.91,"2,794",9.91,"2,749"
9,20,11.71,"2,565",11.71,"2,928"
9,27,15.14,"2,392",15.14,"2,782"
10,4,9.73,"2,704",9.73,"3,033"
10,11,15.00,"2,445",15.00,"2,587"
10,18,14.01,"2,515",14.01,"2,596"
10,25,10.67,"2,514",10.67,"2,788"
11,1,13.85,"2,427",13.85,"2,881"
11,8,12.61,"2,416",12.61,"2,708"
11,15,14.71,"2,535",14.71,"2,685"
11,22,15.10,"2,561",15.10,"2,947"
11,29,10.56,"2,612",10.56,"2,830"
12,6,12.18,"2,410",12.18,"2,651"
12,13,13.28,"2,517",13.28,"2,797"
12,20,14.92,"2,754",14.92,"2,743"
12,27,16.61,"2,431",16.61,"2,688"
,,,,,
,,,,,
